election_num,state,Ypos,Xpos,MOE_original, MOE_instance,Trump,Clinton,Trump_New, Clinton_New,Trump_EVotes,Clinton_EVotes,Flip_Ind,MOE_Rare_Ind,Surprise_Ind
4,Delaware,5,10,4.1,4.01,30,51,30,55.01,0,3,0,0,0
4,District of Columbia,6,9,4.9,1.48,4,91,4,92.48,0,3,0,0,0
4,Florida,8,9,3.3,1.36,50,46,51.36,46,29,0,0,0,0
4,Georgia,7,8,2.8,2.53,52,45,54.53,45,16,0,0,0,0
4,Hawaii,1,2,5.0,1.77,30,62,31.77,62,0,4,0,0,0
4,Idaho,3,2,4.0,1.49,48,29,48,30.49,4,0,0,0,0
4,Illinois,3,6,4.3,1.28,41,53,41,54.28,0,20,0,0,0
4,Indiana,4,6,4.0,1.56,48,37,48,38.56,11,0,0,0,0
4,Iowa,4,5,3.5,7.42,46,39,53.42,39,6,0,0,1,0
4,Kansas,6,4,5.5,0.7,58,34,58,34.7,6,0,0,0,0
4,Kentucky,5,6,4.0,0.91,54,37,54,37.91,8,0,0,0,0
4,Louisiana,7,5,4.4,1.35,50,35,50,36.35,8,0,0,0,0
4,Maine,1,11,3.5,3.26,42,46,42,49.26,0,4,0,0,0
4,Maryland,5,9,4.0,1.72,27,63,28.72,63,0,10,0,0,0
4,Massachusetts,3,10,5.0,0.49,26,56,26.49,56,0,11,0,0,0
4,Michigan,3,7,2.8,2.16,49,47,49,49.16,0,16,1,0,0
4,Minnesota,3,5,3.9,2.42,39,49,39,51.42,0,10,0,0,0
4,Missouri,7,6,3.5,0.12,47,41,47.12,41,10,0,0,0,0
4,Mississippi,5,5,2.9,1.92,54,39,55.92,39,6,0,0,0,0
4,Montana,3,3,3.2,0.38,46,36,46,36.38,3,0,0,0,0
4,Nebraska,5,4,3.6,0.17,56,29,56,29.17,5,0,0,0,0
4,Nevada,4,2,4.9,2.01,46,46,48.01,46,6,0,1,0,0
4,New Hampshire,2,11,3.7,0.66,38,49,38.66,49,0,4,0,0,0
4,New Jersey,4,9,3.8,2.35,40,51,40,53.35,0,14,0,0,0
4,New Mexico,6,3,1.8,1.52,44,46,44,47.52,0,5,0,0,0
4,New York,3,9,4.5,2.49,34,51,34,53.49,0,29,0,0,0
4,North Carolina,6,7,3.5,0.01,44,44,44,44.01,0,15,1,0,0
4,North Dakota,3,4,4.9,3.76,43,32,46.76,32,3,0,0,0,0
4,Ohio,4,7,3.2,1.5,46,39,46,40.5,18,0,0,0,0
4,Oklahoma,7,4,4.3,0.49,60,30,60,30.49,7,0,0,0,0
4,Oregon,4,1,4.4,3.27,34,41,34,44.27,0,7,0,0,0
4,Pennsylvania,4,8,2.8,2.53,40,46,42.53,46,0,20,0,0,0
4,Rhode Island,4,11,3.4,0.67,32,52,32.67,52,0,4,0,0,0
